Pin Designator,Net Name
1,data_wdata_integ_o[3]
2,VSS
3,data_wdata_integ_o[2]
4,VSS
5,data_wdata_integ_o[1]
6,VSS
7,data_wdata_integ_o[0]
8,VSS
9,serdes_data_rdata_i[15]
10,VSS
11,serdes_data_rdata_i[14]
12,VSS
13,serdes_data_rdata_i[13]
14,VSS
15,serdes_data_rdata_i[12]
16,VSS
17,serdes_data_rdata_i[11]
18,VSS
19,serdes_data_rdata_i[10]
20,VSS
21,serdes_data_rdata_i[9]
22,VSS
23,serdes_data_rdata_i[8]
24,VSS
25,serdes_data_rdata_i[7]
26,VSS
27,serdes_data_rdata_i[6]
28,VSS
29,serdes_data_rdata_i[5]
30,RESERVED
31,serdes_data_rdata_i[4]
32,VSS
33,RESERVED
34,VSS
35,data_wdata_integ_o[4]
36,VSS
37,data_wdata_integ_o[5]
38,VSS
39,data_wdata_integ_o[6]
40,VSS
41,data_we_o
42,VSS
43,data_rvalid_i
44,VSS
45,data_gnt_i
46,VSS
47,data_req_o
48,VSS
49,instr_err_i
50,VSS
51,
52,VSS
53,irq_timer_i
54,VSS
55,irq_software_i
56,VSS
57,data_err_i
58,VSS
59,serdes_data_rdata_i[0]
60,RESERVED
61,serdes_data_rdata_i[1]
62,VSS
63,serdes_data_rdata_i[2]
64,VSS
65,serdes_data_rdata_i[3]
66,VSS
67,RESERVED
68,VSS
