Pin Designator,Net Name
1,VSS
2,irq_fast_i[7]
3,VSS
4,VDD
5,irq_fast_i[6]
6,irq_fast_i[5]
7,irq_fast_i[4]
8,irq_fast_i[3]
9,irq_fast_i[2]
10,VSS
11,irq_fast_i[1]
12,irq_fast_i[0]
13,irq_nm_i
14,debug_req_i
15,double_fault_seen_o
16,VDD
17,fetch_enable_i
18,VSS
19,alert_minor_o
20,alert_major_internal_o
21,alert_major_bus_o
22,core_sleep_o
23,scan_rst_ni
24,VSS
25,scan_en
26,redundancy_sel_IF
27,redundancy_sel_ID
28,redundancy_sel_EX
29,VSS
30,VDD
31,redundancy_sel_LSU
32,redundancy_sel_WB
