Pin Designator,Net Name
1,serdes_data_addr_o[15]
2,VSS
3,serdes_data_addr_o[14]
4,VSS
5,serdes_data_addr_o[13]
6,VSS
7,serdes_data_addr_o[12]
8,VSS
9,serdes_data_addr_o[11]
10,VSS
11,serdes_data_addr_o[10]
12,VSS
13,serdes_data_addr_o[9]
14,VSS
15,serdes_data_addr_o[8]
16,VSS
17,serdes_data_addr_o[7]
18,VSS
19,serdes_data_addr_o[6]
20,VSS
21,serdes_data_addr_o[5]
22,VSS
23,serdes_data_addr_o[4]
24,VSS
25,serdes_data_addr_o[3]
26,VSS
27,serdes_data_addr_o[2]
28,VSS
29,serdes_data_addr_o[1]
30,
31,serdes_data_addr_o[0]
32,VSS
33,
34,VSS
35,serdes_data_wdata_o[15]
36,VSS
37,serdes_data_wdata_o[14]
38,VSS
39,serdes_data_wdata_o[13]
40,VSS
41,serdes_data_wdata_o[12]
42,VSS
43,serdes_data_wdata_o[11]
44,VSS
45,serdes_data_wdata_o[10]
46,VSS
47,serdes_data_wdata_o[9]
48,VSS
49,serdes_data_wdata_o[8]
50,VSS
51,serdes_data_wdata_o[7]
52,VSS
53,serdes_data_wdata_o[6]
54,VSS
55,serdes_data_wdata_o[5]
56,VSS
57,serdes_data_wdata_o[4]
58,VSS
59,serdes_data_wdata_o[3]
60,
61,serdes_data_wdata_o[2]
62,VSS
63,serdes_data_wdata_o[1]
64,
65,serdes_data_wdata_o[0]
66,VSS
67,
68,VSS
