Pin Designator,Net Name
1,VSS
2,VDD
3,serdes_data_rdata_i[13]
4,VSS
5,serdes_data_rdata_i[15]
6,serdes_data_rdata_i[14]
7,data_wdata_integ_o[1]
8,data_wdata_integ_o[0]
9,data_wdata_integ_o[3]
10,data_wdata_integ_o[2]
11,data_wdata_integ_o[5]
12,data_wdata_integ_o[4]
13,VSS
14,VSS
15,serdes_data_wdata_o[0]
16,data_wdata_integ_o[6]
17,serdes_data_wdata_o[2]
18,serdes_data_wdata_o[1]
19,serdes_data_wdata_o[4]
20,serdes_data_wdata_o[3]
21,serdes_data_wdata_o[6]
22,serdes_data_wdata_o[5]
23,VSS
24,VSS
25,serdes_data_wdata_o[8]
26,serdes_data_wdata_o[7]
27,serdes_data_wdata_o[10]
28,serdes_data_wdata_o[9]
29,serdes_data_wdata_o[12]
30,serdes_data_wdata_o[11]
31,serdes_data_wdata_o[14]
32,serdes_data_wdata_o[13]
