Pin Designator,Net Name
1,scan_in_db2_p
2,VSS
3,scan_in_db2_r
4,VSS
5,scan_out_db2_p
6,VSS
7,scan_out_db2_r
8,VSS
9,scan_in_tb2_p
10,VSS
11,scan_in_tb2_r
12,VSS
13,scan_out_tb2_p
14,VSS
15,scan_out_tb2_r
16,VSS
17,rst_ni
18,VSS
19,test_en_i
20,VSS
21,hard_id_shift_en
22,VSS
23,hard_id_serial_in
24,VSS
25,boot_addr_shift_en
26,VSS
27,boot_addr_serial_in
28,VSS
29,scan_in_serdes_a_p
30,RESERVED
31,scan_out_serdes_a_p
32,VSS
33,RESERVED
34,VSS
35,scan_out_tb1_r
36,VSS
37,scan_out_tb1_p
38,VSS
39,scan_in_tb1_r
40,VSS
41,scan_in_tb1_p
42,VSS
43,scan_out_db1_r
44,VSS
45,scan_out_db1_p
46,VSS
47,serdes_data_be_o[0]
48,VSS
49,serdes_data_be_o[1]
50,VSS
51,
52,VSS
53,slow_clk_i
54,VSS
55,fast_clk_i
56,VSS
57,instr_rvalid_i
58,VSS
59,instr_gnt_i
60,RESERVED
61,instr_req_o
62,VSS
63,scan_out_serdes_b_p
64,VSS
65,scan_in_serdes_b_p
66,VSS
67,RESERVED
68,VSS
