Pin Designator,Net Name
1,serdes_instr_addr_o[6]
2,fast_clk_i
3,VSS
4,VDD
5,serdes_instr_addr_o[7]
6,VSS
7,serdes_instr_addr_o[8]
8,serdes_instr_addr_o[9]
9,serdes_instr_addr_o[10]
10,serdes_instr_addr_o[11]
11,serdes_instr_addr_o[12]
12,serdes_instr_addr_o[13]
13,serdes_instr_addr_o[14]
14,VSS
15,serdes_instr_addr_o[15]
16,instr_rvalid_i
17,instr_gnt_i
18,instr_req_o
19,scan_out_serdes_b_p
20,scan_in_serdes_b_p
21,VSS
22,VDD
23,scan_out_serdes_a_p
24,VSS
25,scan_in_serdes_a_p
26,boot_addr_serial_in
27,boot_addr_shift_en
28,hard_id_serial_in
29,hard_id_shift_en
30,test_en_i
31,rst_ni
32,VSS
