Pin Designator,Net Name
1,scan_out_id_p
2,VSS
3,scan_out_id_r
4,VSS
5,scan_in_ex_p
6,VSS
7,scan_in_ex_r
8,VSS
9,scan_out_ex_p
10,VSS
11,scan_out_ex_r
12,VSS
13,scan_in_wb_p
14,VSS
15,scan_in_wb_r
16,VSS
17,scan_out_wb_p
18,VSS
19,scan_out_wb_r
20,VSS
21,scan_in_ls_p
22,VSS
23,scan_in_ls_r
24,VSS
25,scan_out_ls_p
26,VSS
27,scan_out_ls_r
28,VSS
29,scan_in_cs_p
30,RESERVED
31,scan_in_cs_r
32,VSS
33,RESERVED
34,VSS
35,scan_in_id_r
36,VSS
37,scan_in_id_p
38,VSS
39,scan_out_if_r
40,VSS
41,scan_out_if_p
42,VSS
43,scan_in_if_r
44,VSS
45,scan_in_if_p
46,VSS
47,redundancy_sel_IC
48,VSS
49,redundancy_sel_RF
50,VSS
51,scan_in_db1_r
52,VSS
53,scan_in_db1_p
54,VSS
55,scan_out_rf_r
56,VSS
57,scan_out_rf_p
58,VSS
59,scan_in_rf_r
60,RESERVED
61,scan_in_rf_p
62,VSS
63,scan_out_cs_r
64,VSS
65,scan_out_cs_p
66,VSS
67,RESERVED
68,VSS
