Pin Designator,Net Name
1,redundancy_sel_CSR
2,VSS
3,redundancy_sel_RF
4,VSS
5,redundancy_sel_IC
6,VSS
7,scan_in_if_p
8,VSS
9,scan_in_if_r
10,VSS
11,scan_in_id_p
12,VSS
13,scan_in_id_r
14,VSS
15,scan_in_ex_p
16,VSS
17,scan_in_ex_r
18,VSS
19,scan_out_ex_p
20,VSS
21,scan_out_ex_r
22,VSS
23,scan_in_wb_p
24,VSS
25,scan_in_wb_r
26,VSS
27,scan_in_ls_p
28,VSS
29,scan_in_ls_r
30,
31,scan_in_cs_p
32,VSS
33,
34,VSS
35,scan_out_cs_p
36,VSS
37,scan_out_cs_r
38,VSS
39,scan_in_rf_p
40,VSS
41,scan_in_rf_r
42,VSS
43,scan_in_db1_p
44,VSS
45,scan_in_db1_r
46,VSS
47,scan_out_db1_p
48,VSS
49,scan_out_db1_r
50,VSS
51,scan_in_tb1_p
52,VSS
53,scan_in_tb1_r
54,VSS
55,scan_in_db2_p
56,VSS
57,scan_in_db2_r
58,VSS
59,scan_out_db2_p
60,
61,scan_out_db2_r
62,VSS
63,scan_in_tb2_p
64,
65,scan_in_tb2_r
66,VSS
67,
68,VSS
